,Rolling Net Production ,,,,,,,,,,,,
Date ,APLNG 30 Day Rolling  Production ,APLNG LNG Pipeline 30 Day Rolling ,APLNG Net Flows ,QCLNG 30 Day Rolling Production ,QCLNG LNG Pipeline 30 Day Rolling ,QCLNG Net Flows ,GLNG 30 Day Rolling Production,30 Day Rolling  ,GLNG Net Flows ,,,,
1/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Lewis Gray Graph 
11/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
12/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
13/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
14/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
15/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
16/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
17/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
19/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
20/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
21/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
22/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
23/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
26/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
27/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
28/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
29/6/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
30/6/15,471.4,0.0,471.4,861.9,779.3,82.6,77.2,0.0,77.2,,,,
1/7/15,473.6,0.0,473.6,874.4,787.2,87.2,75.7,0.0,75.7,,,,
2/7/15,475.5,0.0,475.5,886.9,795.7,91.2,75.8,0.0,75.8,,,,
3/7/15,478.5,0.0,478.5,900.1,809.7,90.4,75.8,0.0,75.8,,,,
4/7/15,480.2,0.0,480.2,913.6,828.3,85.3,75.5,0.0,75.5,,,,
5/7/15,481.9,0.0,481.9,924.9,843.7,81.1,73.0,0.0,73.0,,,,
6/7/15,484.0,0.0,484.0,938.3,852.7,85.6,73.0,0.0,73.0,,,,
7/7/15,485.2,0.0,485.2,950.9,856.7,94.2,71.8,0.0,71.8,,,,
8/7/15,485.6,0.0,485.6,959.0,859.6,99.4,70.5,0.0,70.5,,,,
9/7/15,484.3,0.0,484.3,966.9,865.8,101.1,70.3,0.0,70.3,,,,
10/7/15,484.4,0.0,484.4,974.4,873.9,100.4,70.0,0.0,70.0,,,,
11/7/15,484.8,0.0,484.8,980.3,889.4,90.8,70.0,0.0,70.0,,,,
12/7/15,485.7,0.0,485.7,982.8,903.9,78.9,72.1,0.0,72.1,,,,
13/7/15,486.1,0.0,486.1,986.8,914.0,72.9,73.3,0.0,73.3,,,,
14/7/15,485.6,0.0,485.6,991.7,919.3,72.4,72.8,0.0,72.8,,,,
15/7/15,485.8,0.0,485.8,994.2,930.8,63.4,73.2,0.0,73.2,,,,
16/7/15,485.3,0.0,485.3,995.8,937.4,58.4,73.4,0.0,73.4,,,,
17/7/15,485.2,0.0,485.2,998.8,947.3,51.5,72.5,0.0,72.5,,,,
18/7/15,486.2,0.0,486.2,1003.0,964.4,38.6,72.7,0.0,72.7,,,,
19/7/15,489.5,0.0,489.5,1006.9,985.2,21.8,72.4,0.0,72.4,,,,
20/7/15,489.4,0.0,489.4,1009.6,994.0,15.6,71.1,0.0,71.1,,,,
21/7/15,488.4,0.0,488.4,1012.9,1006.0,6.8,69.8,0.0,69.8,,,,
22/7/15,486.2,0.0,486.2,1015.5,1024.5,-9.0,70.7,0.0,70.7,,,,
23/7/15,485.2,0.0,485.2,1019.1,1038.4,-19.3,70.4,0.0,70.4,,,,
24/7/15,484.1,0.0,484.1,1023.0,1053.6,-30.6,70.2,0.0,70.2,,,,
25/7/15,483.3,0.0,483.3,1026.5,1072.1,-45.6,69.4,0.0,69.4,,,,
26/7/15,482.8,0.0,482.8,1029.1,1089.7,-60.6,69.0,0.0,69.0,,,,
27/7/15,483.1,0.0,483.1,1031.9,1100.4,-68.5,67.1,0.0,67.1,,,,
28/7/15,480.6,0.0,480.6,1034.2,1111.0,-76.7,67.5,0.0,67.5,,,,
29/7/15,478.5,0.0,478.5,1039.2,1126.7,-87.6,66.9,0.0,66.9,,,,
30/7/15,477.2,0.0,477.2,1041.4,1140.1,-98.7,66.8,0.0,66.8,,,,
31/7/15,474.7,0.0,474.7,1042.3,1150.1,-107.8,65.7,0.0,65.7,,,,
1/8/15,474.0,0.0,474.0,1045.7,1167.8,-122.2,64.7,0.0,64.7,,,,
2/8/15,472.8,0.0,472.8,1050.2,1187.4,-137.1,63.4,0.0,63.4,,,,
3/8/15,471.2,0.0,471.2,1054.9,1192.2,-137.3,62.7,0.0,62.7,,,,
4/8/15,470.0,0.0,470.0,1061.4,1196.1,-134.8,62.4,0.0,62.4,,,,
5/8/15,468.7,0.0,468.7,1063.7,1197.9,-134.3,61.1,0.0,61.1,,,,
6/8/15,467.7,0.0,467.7,1057.3,1190.3,-133.0,60.7,0.0,60.7,,,,
7/8/15,467.1,0.0,467.1,1057.8,1183.4,-125.7,59.9,0.0,59.9,,,,
8/8/15,468.7,0.0,468.7,1060.5,1182.9,-122.4,59.0,0.0,59.0,,,,
9/8/15,469.0,0.0,469.0,1062.5,1185.4,-123.0,58.5,0.0,58.5,,,,
10/8/15,469.9,0.0,469.9,1063.5,1181.0,-117.5,58.7,0.0,58.7,,,,
11/8/15,469.9,0.0,469.9,1066.6,1178.8,-112.2,56.2,0.0,56.2,,,,
12/8/15,470.5,0.0,470.5,1063.3,1170.2,-106.9,54.2,0.0,54.2,,,,
13/8/15,471.9,0.0,471.9,1059.3,1161.2,-101.9,53.6,0.0,53.6,,,,
14/8/15,472.4,0.0,472.4,1058.6,1153.0,-94.4,51.6,0.0,51.6,,,,
15/8/15,473.2,0.0,473.2,1057.6,1152.0,-94.3,52.3,0.0,52.3,,,,
16/8/15,473.8,0.0,473.8,1056.2,1155.3,-99.2,52.3,0.0,52.3,,,,
17/8/15,474.0,0.0,474.0,1052.7,1150.1,-97.3,50.4,0.0,50.4,,,,
18/8/15,473.4,0.0,473.4,1052.0,1148.1,-96.1,49.7,0.0,49.7,,,,
19/8/15,473.8,0.0,473.8,1052.1,1151.2,-99.2,50.5,0.0,50.5,,,,
20/8/15,474.9,0.0,474.9,1052.2,1151.9,-99.7,50.5,0.0,50.5,,,,
21/8/15,476.7,0.0,476.7,1052.6,1149.6,-97.1,48.3,0.0,48.3,,,,
22/8/15,478.2,0.0,478.2,1051.2,1147.2,-96.0,47.3,0.0,47.3,,,,
23/8/15,480.2,0.0,480.2,1049.9,1142.1,-92.2,45.6,0.0,45.6,,,,
24/8/15,481.7,0.0,481.7,1043.9,1124.3,-80.4,44.8,0.0,44.8,,,,
25/8/15,483.8,0.0,483.8,1037.9,1108.3,-70.4,43.9,0.0,43.9,,,,
26/8/15,486.4,0.0,486.4,1031.7,1098.6,-66.9,44.2,0.0,44.2,,,,
27/8/15,488.5,0.0,488.5,1023.7,1086.4,-62.7,43.5,0.0,43.5,,,,
28/8/15,490.4,0.0,490.4,1012.5,1067.0,-54.5,43.5,0.0,43.5,,,,
29/8/15,492.5,0.0,492.5,1007.9,1056.8,-49.0,43.6,0.0,43.6,,,,
30/8/15,494.5,0.0,494.5,1010.4,1053.0,-42.5,43.9,0.0,43.9,,,,
31/8/15,495.5,0.0,495.5,1011.5,1040.6,-29.1,44.3,0.0,44.3,,,,
1/9/15,496.4,0.0,496.4,1011.4,1029.8,-18.3,44.6,0.0,44.6,,,,
2/9/15,497.2,0.0,497.2,1011.5,1031.2,-19.7,44.2,0.0,44.2,,,,
3/9/15,497.0,0.0,497.0,1012.6,1037.1,-24.4,44.1,0.0,44.1,,,,
4/9/15,499.1,0.0,499.1,1016.3,1048.8,-32.5,45.3,0.0,45.3,,,,
5/9/15,499.2,0.0,499.2,1029.4,1069.2,-39.8,45.4,0.0,45.4,,,,
6/9/15,502.1,0.0,502.1,1035.0,1089.9,-54.9,46.2,0.0,46.2,,,,
7/9/15,505.5,0.0,505.5,1038.5,1102.1,-63.6,47.1,0.0,47.1,,,,
8/9/15,508.7,0.0,508.7,1041.7,1110.0,-68.2,47.6,0.0,47.6,,,,
9/9/15,512.1,0.0,512.1,1046.2,1118.7,-72.5,47.1,0.0,47.1,,,,
10/9/15,514.8,0.0,514.8,1051.8,1129.4,-77.6,47.2,0.0,47.2,,,,
11/9/15,518.4,0.0,518.4,1062.2,1148.5,-86.3,47.6,0.0,47.6,,,,
12/9/15,520.7,0.0,520.7,1072.2,1172.8,-100.5,48.3,0.0,48.3,,,,
13/9/15,523.7,0.0,523.7,1078.9,1195.4,-116.5,48.9,0.0,48.9,,,,
