Month,Wallumbilla,NE Asian,Gladstone contract,Gladstone exports,Adelaide,Brisbane,Sydney,Victoria,Japan import,Henry Hub,UK,Japan spot,Singapore sling,ACCC netback
1/09/2010,,,,,3.457666667,#N/A,3.113973333,1.371823333,,,,,,
1/10/2010,,,,,2.803574194,#N/A,1.443848387,1.142706452,,,,,,
1/11/2010,,,,,2.142696667,#N/A,5.590856667,1.25013,,,,,,
1/12/2010,,,,,2.265264516,#N/A,0.757835484,1.446716129,,,,,,
1/01/2011,,,,,2.7401,#N/A,1.677816129,2.587409677,,,,,,
1/02/2011,,,,,3.387125,#N/A,2.837675,2.484253571,,,,,,
1/03/2011,,,,,3.603312903,#N/A,2.852083871,2.959658065,,,,,,
1/04/2011,,,,,3.739486667,#N/A,3.33037,3.07406,,,,,,
1/05/2011,,,,,3.680519355,#N/A,3.441003226,3.518922581,,,,,,
1/06/2011,,,,,3.922386667,#N/A,3.764653333,3.851673333,,,,,,
1/07/2011,,,,,3.944006452,#N/A,3.655729032,3.630890323,,,,,,
1/08/2011,,,,,3.829345161,#N/A,3.42856129,3.415054839,,,,,,
1/09/2011,,,,,3.743703333,#N/A,3.238006667,2.928093333,,,,,,
1/10/2011,,,,,3.576893548,#N/A,3.021393548,2.328974194,,,,,,
1/11/2011,,,,,3.77497,#N/A,2.539766667,2.030316667,,,,,,
1/12/2011,,,,,3.227180645,2.933493548,2.39783871,2.937596774,,,,,,
1/01/2012,,,,,3.66703871,3.163835484,2.777248387,3.230145161,,,,,,
1/02/2012,,,,,3.552610345,3.3101,3.194524138,3.30127931,,,,,,
1/03/2012,,,,,3.501941935,3.133745161,3.428580645,3.271174194,,,,,,
1/04/2012,,15.30341479,,,3.774146667,3.376803333,3.422923333,3.451856667,15.45602164,1.784355579,8.816932444,,,
1/05/2012,,17.15163566,,,3.917303226,4.059367742,3.960212903,3.785087097,16.21365559,2.31339602,8.614131535,,,
1/06/2012,,16.03602841,,,5.030913333,4.58857,6.34373,5.134246667,16.30890518,2.332554294,8.156041438,,,
1/07/2012,,13.03719918,,,6.666506452,5.769922581,6.74856129,5.89983871,16.58276552,2.716892308,7.978552328,,,
1/08/2012,,12.18896672,,,6.121593548,5.421774194,6.785522581,4.815490323,15.9267153,2.571949774,7.760000429,,,
1/09/2012,,12.23236879,,,4.940136667,4.967336667,5.185746667,4.40692,15.11271793,2.599702192,8.938585106,,,
1/10/2012,,12.09912674,,,4.527916129,5.191080645,5.205519355,4.242512903,14.14473934,3.056525706,9.558374013,,,
1/11/2012,,13.29100579,,,4.28976,5.010953333,4.245903333,4.069456667,14.06486853,3.224261799,9.540814768,,,
1/12/2012,,15.23182483,,,4.745977419,5.040854839,4.260770968,3.834848387,14.05387288,3.024831098,9.65920492,,,
1/01/2013,,16.98308568,,,4.890906452,7.994864516,4.489003226,4.250932258,13.5766209,3.00341471,9.602067369,,,
1/02/2013,,17.69519435,,,4.814885714,5.934942857,4.828771429,4.652267857,15.08893333,3.064835837,9.823043109,,,
1/03/2013,,15.3398814,,,4.789245161,7.223380645,4.794367742,4.195190323,14.97355588,3.490789203,12.00560835,,,
1/04/2013,,13.86108347,,,4.818813333,5.381466667,4.801216667,4.439386667,14.33847927,3.805998632,9.784873231,,,
1/05/2013,,13.85688823,,,5.008648387,6.402858065,5.128074194,4.67206129,15.54078057,3.870675442,9.720938052,,,
1/06/2013,,14.99365333,,,5.374373333,6.598293333,5.868643333,4.482546667,16.11453322,3.844738634,9.459974238,,,
1/07/2013,,16.61931107,,,5.461832258,5.952051613,5.164974194,4.518993548,16.50599759,3.748194644,10.28384204,,,
1/08/2013,,16.38950984,,,5.112706452,5.803277419,4.492583871,4.146793548,16.33704662,3.592709902,10.53021718,,,
1/09/2013,,15.84636699,,,4.440783333,5.578683333,3.586856667,3.62263,15.32268877,3.68825382,10.65568137,,,
1/10/2013,,16.66677525,,,4.138383871,5.375635484,4.033116129,3.829041935,14.97949911,3.660342283,10.45427009,,,
1/11/2013,,18.81661797,,,3.95888,4.800816667,3.92958,3.90137,15.83953035,3.690946284,11.13820272,,,
1/12/2013,,20.04740369,,,3.969719355,4.865083871,3.884493548,3.892116129,16.79758758,4.472252743,12.01982526,,,
1/01/2014,,20.54768557,,,4.655293548,4.846774194,4.107551613,3.9163,17.98033973,5.034841683,11.46217181,,,
1/02/2014,,20.92588416,,,4.434571429,4.398196429,3.991007143,4.022139286,17.54341632,6.320505055,10.32472834,,,
1/03/2014,4.190769231,17.11787339,,,3.884493548,3.885435484,3.816396774,3.805570968,17.32285554,5.091483411,9.895630777,,,15.58787339
1/04/2014,3.092333333,15.2723248,,,3.858573333,3.10722,3.70494,3.775853333,17.14921607,4.713375289,8.538183084,16,,13.7423248
1/05/2014,2.647096774,13.86055525,,,3.879225806,3.173367742,3.779487097,3.639670968,16.66730495,4.649933573,7.831664259,14.8,,12.33055525
1/06/2014,2.330333333,12.17115053,,,3.94188,2.703986667,3.79702,3.551693333,16.31409053,4.624550758,6.760597028,13.8,,10.64115053
1/07/2014,1.940967742,10.73367092,,,4.010712903,2.280596774,3.936851613,3.814125806,16.19297077,4.049564268,6.533300185,11.8,,9.203670916
1/08/2014,1.801935484,11.95076528,,,3.862212903,2.403945161,3.854587097,3.550241935,16.00578792,3.955701611,6.924896569,11.4,,10.42076528
1/09/2014,2.207,14.98197623,,,3.65077,2.322643333,3.747356667,3.602956667,15.85976781,4.104025441,8.31637171,13.2,,13.45197623
1/10/2014,1.106451613,14.92514783,,,2.994616129,1.68816129,2.230032258,3.207632258,17.23301196,4.073230912,8.765781289,15.3,13.61625,13.39514783
1/11/2014,0.513666667,11.62699739,,,2.902156667,0.32238,2.167896667,3.14648,17.12603423,4.509120417,9.540262632,14.4,10.65775,10.09699739
1/12/2014,2.057096774,11.63691615,,,3.835419355,1.859380645,2.485241935,3.659564516,17.94577236,3.915174394,9.680336629,11.6,9.4774,10.10691615
1/01/2015,5.174193548,10.33554706,17.47969971,0.194536,3.774374194,4.848164516,4.20163871,3.514390323,17.66363657,3.495284635,8.23101137,10.2,8.44525,8.805547065
1/02/2015,2.838928571,8.470628655,16.24624218,0.257027,3.933667857,2.758839286,3.69885,3.4129,16.10017323,3.463015676,9.469606336,7.6,6.54325,6.940628655
1/03/2015,3.402580645,9.648666533,14.27016528,0.128425,3.773590323,3.172093548,3.56993871,3.540016129,14.9349085,3.43409817,8.70731426,8,7.1656,8.118666533
1/04/2015,2.699666667,8.956967429,11.60516038,0.257249,3.753396667,2.047316667,3.4877,3.810186667,12.57243128,3.160840866,8.576313878,7.6,6.70675,7.426967429
1/05/2015,2.186451613,9.258154878,9.032315031,0.379584,4.021232258,1.633596774,3.329777419,4.006448387,10.63672214,3.411371065,8.25200049,#N/A,7.035,7.728154878
1/06/2015,2.396,9.15750788,10.13691219,0.394282,4.71616,1.987616667,4.62276,4.43444,10.96025435,3.398822517,8.34042076,7.6,6.9292,7.62750788
